                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                 1.1601,                0.83272,                  1.153,                0.32848,                0.46013,                0.38613,                0.17318,                 1.7578,                 1.1135,                 1.5315,             0.00038135,             0.00038135,             0.00038135
                     74,                 1.1769,                0.89353,                 1.1717,                0.34883,                0.46681,                0.37069,                0.16437,                 1.7791,                 1.1533,                 1.5435,             0.00037844,             0.00037844,             0.00037844
                     75,                 1.2039,                0.85596,                 1.1657,                0.53232,                0.43672,                0.43524,                 0.1994,                 1.7831,                 1.0997,                 1.5353,             0.00037553,             0.00037553,             0.00037553
                     76,                 1.1558,                0.84162,                 1.1568,                0.64858,                0.36943,                 0.4525,                0.20845,                 1.7552,                 1.0852,                 1.4874,             0.00037262,             0.00037262,             0.00037262
                     77,                 1.1233,                0.82286,                 1.1251,                 0.6032,                0.37737,                0.43178,                 0.1896,                 1.7686,                 1.0878,                  1.507,             0.00036971,             0.00036971,             0.00036971
                     78,                 1.1256,                0.78397,                 1.1049,                 0.6991,                0.32749,                0.39129,                0.16907,                 1.7708,                 1.1022,                 1.5276,             0.00036679,             0.00036679,             0.00036679
                     79,                 1.1815,                0.82337,                 1.1341,                0.56222,                0.43525,                0.43429,                0.18752,                 1.7858,                 1.0743,                 1.5487,             0.00036388,             0.00036388,             0.00036388
                     80,                 1.1733,                0.81903,                 1.1223,                0.58309,                0.41017,                0.47051,                0.21409,                 1.7549,                 1.0615,                 1.5152,             0.00036097,             0.00036097,             0.00036097
                     81,                 1.1503,                0.84261,                 1.1371,                0.64002,                0.36596,                0.45476,                0.21125,                 1.7555,                 1.0771,                 1.5277,             0.00035806,             0.00035806,             0.00035806
                     82,                  1.145,                0.82984,                 1.1366,                0.54926,                0.45242,                0.45229,                0.20966,                 1.7583,                 1.0897,                 1.5267,             0.00035515,             0.00035515,             0.00035515
